@relation 'Capstone Data - base'

@attribute 'File Name' {1727.csv,1728.csv,1729.csv,1730.csv,1733.csv,1734.csv,1735.csv,1739.csv,1742.csv,1749.csv,1750.csv,1751.csv,1752.csv,1755.csv,1756.csv,1757.csv,1758.csv,1759.csv,1760.csv,1763.csv,1764.csv,1765.csv,1766.csv,1768.csv,1771.csv,1772.csv,1773.csv,1775.csv,1776.csv,1777.csv,1788.csv,1789.csv,1790.csv,1791.csv,1792.csv,1793.csv,1805.csv,1807.csv,1811.csv,1812.csv,1813.csv,1817.csv,1818.csv,1819.csv,1822.csv,1824.csv,1828.csv,1829.csv,1835.csv,1859.csv,1872.csv,1873.csv,1876.csv,1893.csv,1916.csv,1918.csv,1919.csv,1922.csv,1923.csv,1931.csv,1932.csv,1933.csv,2075.csv,2076.csv,2077.csv,2078.csv,2079.csv,2080.csv,2081.csv,2082.csv,2083.csv,2104.csv,2105.csv,2106.csv,2112.csv,2113.csv,2114.csv,2116.csv,2117.csv,2118.csv,2119.csv,2127.csv,2131.csv,2138.csv,2140.csv,2147.csv,2148.csv,2149.csv,2150.csv,2151.csv,2154.csv,2155.csv,2156.csv,2157.csv,2158.csv,2159.csv,2160.csv,2161.csv,2166.csv,2167.csv,2168.csv,2169.csv,2177.csv,2178.csv,2179.csv,2180.csv,2186.csv,2191.csv,2194.csv,2195.csv,2196.csv,2198.csv,2200.csv,2201.csv,2202.csv,2203.csv,2204.csv,2207.csv,2208.csv,2209.csv,2210.csv,2211.csv,2212.csv,2213.csv,2214.csv,2215.csv,2217.csv,2218.csv,2219.csv,2220.csv,2221.csv,2222.csv,2224.csv,2225.csv,2227.csv,2228.csv,2229.csv,2230.csv,2231.csv,2232.csv,2234.csv,2237.csv,2238.csv,2239.csv,2240.csv,2241.csv,2242.csv,2243.csv,2244.csv,2247.csv,2248.csv,2282.csv,2283.csv,2284.csv,2285.csv,2288.csv,2289.csv,2292.csv,2293.csv,2294.csv,2295.csv,2296.csv,2297.csv,2298.csv,2300.csv,2302.csv,2303.csv,2304.csv,2305.csv,2307.csv,2308.csv,2310.csv,2313.csv,2314.csv,2315.csv,2318.csv,2319.csv,2320.csv,2322.csv,2325.csv,2330.csv,2334.csv,2335.csv,2336.csv,2341.csv,2342.csv,2343.csv,2345.csv,2346.csv,2348.csv,2350.csv,2357.csv,2358.csv,2359.csv,2364.csv,2365.csv,2366.csv,2368.csv,2371.csv,2372.csv,2373.csv,2374.csv,2376.csv,2377.csv,2379.csv,2381.csv,2382.csv,2383.csv,2384.csv,2388.csv,2389.csv,2390.csv,2391.csv,2392.csv,2393.csv,2397.csv,2398.csv,2403.csv,2404.csv,2405.csv,2406.csv,2410.csv,2411.csv,2415.csv,2416.csv,2417.csv,2420.csv,2422.csv,2423.csv,2424.csv,2431.csv,2432.csv,2433.csv,2436.csv,2441.csv,2442.csv,2443.csv,2444.csv,2451.csv,2462.csv,2463.csv,2466.csv,2471.csv,2472.csv,2473.csv,2476.csv,2477.csv,2478.csv,2480.csv,2481.csv,2482.csv,2483.csv,2486.csv,2487.csv,2488.csv,2490.csv,2491.csv,2492.csv,2494.csv,2497.csv,2501.csv,2502.csv,2504.csv,2505.csv,2506.csv,2507.csv,2509.csv,2510.csv,2512.csv,2514.csv,2516.csv,2521.csv,2522.csv,2523.csv,2527.csv,2528.csv,2529.csv,2530.csv,2531.csv,2532.csv,2533.csv,2537.csv,2538.csv,2540.csv,2542.csv,2550.csv,2555.csv,2556.csv,2557.csv,2560.csv,2562.csv,2564.csv,2566.csv,2567.csv,2568.csv,2570.csv,2571.csv,2572.csv,2573.csv,2575.csv,2576.csv,2581.csv,2582.csv,2586.csv,2588.csv,2590.csv,2591.csv,2593.csv,2594.csv,2595.csv,2596.csv,2603.csv,2607.csv,2608.csv,2611.csv,2614.csv,2618.csv,2619.csv,2620.csv,2621.csv,2622.csv,2626.csv,2627.csv,2628.csv,2629.csv,2632.csv,2633.csv,2659.csv,2677.csv,2678.csv}
@attribute Key {'F Major','A Major','D Major','f# minor','Bb Major','E Major','a minor','C Major','c minor','f minor','Eb Major','g minor','G Major','d minor','e minor','b minor','eb minor','Bb minor','c# minor','F# Major or Gb','Db Major','G# or Ab minor','B Major','Key unclear'}
@attribute BPM numeric
@attribute 'Primary Mood' {'Relaxed, Calm','Happy, Exciting','Sad, Depressed','Anxious, Angry'}

@data
1727.csv,'F Major',49.615989,'Relaxed, Calm'
1728.csv,'A Major',293.217223,'Happy, Exciting'
1729.csv,'D Major',60.838145,'Relaxed, Calm'
1730.csv,'A Major',169.311794,'Happy, Exciting'
1733.csv,'f# minor',67.151018,'Sad, Depressed'
1734.csv,'A Major',170.529279,'Happy, Exciting'
1735.csv,'A Major',135.028854,'Relaxed, Calm'
1739.csv,'Bb Major',169.496618,'Happy, Exciting'
1742.csv,'E Major',73.504955,'Relaxed, Calm'
1749.csv,'a minor',140.039206,'Anxious, Angry'
1750.csv,'C Major',70.74643,'Relaxed, Calm'
1751.csv,'a minor',181.066393,'Anxious, Angry'
1752.csv,'a minor',178.458069,'Anxious, Angry'
1755.csv,'F Major',71.313878,'Sad, Depressed'
1756.csv,'a minor',133.153543,'Anxious, Angry'
1757.csv,'c minor',95.221204,'Anxious, Angry'
1758.csv,'E Major',30.353837,'Relaxed, Calm'
1759.csv,'c minor',186.510605,'Anxious, Angry'
1760.csv,'c minor',399.003047,'Anxious, Angry'
1763.csv,'f minor',102.531287,'Sad, Depressed'
1764.csv,'E Major',99.544882,'Relaxed, Calm'
1765.csv,'Bb Major',77.139192,'Relaxed, Calm'
1766.csv,'f minor',231.422738,'Anxious, Angry'
1768.csv,'D Major',48.37312,'Sad, Depressed'
1771.csv,'Eb Major',104.20729,'Happy, Exciting'
1772.csv,'g minor',36.900302,'Sad, Depressed'
1773.csv,'Eb Major',100.915119,'Sad, Depressed'
1775.csv,'D Major',151.853515,'Happy, Exciting'
1776.csv,'A Major',52.59827,'Relaxed, Calm'
1777.csv,'D Major',140.285437,'Happy, Exciting'
1788.csv,'C Major',113.136294,'Anxious, Angry'
1789.csv,'F Major',44.656444,'Relaxed, Calm'
1790.csv,'C Major',151.737483,'Happy, Exciting'
1791.csv,'C Major',144.910484,'Anxious, Angry'
1792.csv,'C Major',123.786072,'Sad, Depressed'
1793.csv,'F Major',40.966998,'Sad, Depressed'
1805.csv,'G Major',115.749135,'Happy, Exciting'
1807.csv,'G Major',43.397599,'Relaxed, Calm'
1811.csv,'D Major',32.106251,'Relaxed, Calm'
1812.csv,'A Major',123.370459,'Happy, Exciting'
1813.csv,'A Major',45.374529,'Happy, Exciting'
1817.csv,'Eb Major',128.857475,'Happy, Exciting'
1818.csv,'Eb Major',53.581249,'Happy, Exciting'
1819.csv,'Eb Major',138.134236,'Relaxed, Calm'
1822.csv,'d minor',82.576665,'Anxious, Angry'
1824.csv,'d minor',117.930321,'Anxious, Angry'
1828.csv,'A Major',52.939035,'Relaxed, Calm'
1829.csv,'E Major',72.653351,'Happy, Exciting'
1835.csv,'F Major',148.012337,'Anxious, Angry'
1859.csv,'A Major',128.833999,'Relaxed, Calm'
1872.csv,'Eb Major',39.633544,'Relaxed, Calm'
1873.csv,'Bb Major',157.92697,'Happy, Exciting'
1876.csv,'C Major',101.411917,'Happy, Exciting'
1893.csv,'G Major',202.902636,'Happy, Exciting'
1916.csv,'Eb Major',97.055647,'Relaxed, Calm'
1918.csv,'F Major',95.571692,'Sad, Depressed'
1919.csv,'Eb Major',113.602371,'Anxious, Angry'
1922.csv,'F Major',88.196832,'Sad, Depressed'
1923.csv,'Eb Major',125.989684,'Anxious, Angry'
1931.csv,'d minor',75.884549,'Sad, Depressed'
1932.csv,'a minor',180.136585,'Happy, Exciting'
1933.csv,'F Major',131.809521,'Anxious, Angry'
2075.csv,'Bb Major',126.433565,'Happy, Exciting'
2076.csv,'F Major',48.730261,'Relaxed, Calm'
2077.csv,'Bb Major',126.865521,'Happy, Exciting'
2078.csv,'d minor',126.110278,'Sad, Depressed'
2079.csv,'Bb Major',58.333842,'Relaxed, Calm'
2080.csv,'d minor',135.247429,'Anxious, Angry'
2081.csv,'F Major',126.419759,'Relaxed, Calm'
2082.csv,'d minor',42.695721,'Sad, Depressed'
2083.csv,'F Major',104.525065,'Happy, Exciting'
2104.csv,'D Major',77.937801,'Relaxed, Calm'
2105.csv,'A Major',53.082218,'Relaxed, Calm'
2106.csv,'D Major',142.620492,'Happy, Exciting'
2112.csv,'e minor',100.307648,'Sad, Depressed'
2113.csv,'a minor',99.450047,'Anxious, Angry'
2114.csv,'e minor',134.072581,'Anxious, Angry'
2116.csv,'f minor',104.232027,'Sad, Depressed'
2117.csv,'E Major',38.064963,'Relaxed, Calm'
